"K_SGH";"K_AFD";"V_AFDNAVN";"K_FRADTO";"D_TILDTO";"D_AJODTO";"C_SPECIALE1";"C_SPECIALE2";"C_SPECIALE3";"C_SPECIALE4"
"2001";"039";"REUMATOLOGISK  AMBULATORIUM E";"1995-01-01";"2000-06-01";"1999-04-22";"012";NULL;NULL;NULL
"2001";"047";"LUNGEMEDICINSK AMBULATORIUM B";"1987-06-30";"1994-12-31";"1987-06-30";"010";NULL;NULL;NULL
"2001";"047";"LUNGEMEDICINSK AMBULATORIUM B";"1995-01-01";"2000-06-01";"1999-04-22";"010";NULL;NULL;NULL
"2001";"049";"MEDICINSK AMBULATORIUM B";"1977-01-01";"1982-12-31";"1977-01-01";"001";"006";NULL;NULL
"2001";"049";"MEDICINSK AMBULATORIUM B";"1983-01-01";"1990-12-31";"1983-01-01";"001";"006";"007";"009"
"2001";"049";"MEDICINSK AMBULATORIUM B";"1991-01-01";"1994-12-31";"1991-01-01";"001";"006";"007";"009"
"2001";"049";"MEDICINSK AMBULATORIUM B";"1995-01-01";"2000-06-01";"1999-04-22";"001";"006";"007";"009"
"2001";"050";"MEDICINSK AFDELING F";"1976-04-01";"1980-12-31";"1976-04-01";"001";NULL;NULL;NULL
"2001";"050";"MEDICINSK AFDELING F";"1981-01-01";"1981-12-31";"1981-01-01";"001";NULL;NULL;NULL
"2001";"059";"MEDICINSK AMBULATORIUM F";"1977-01-01";"1980-12-31";"1977-01-01";"001";NULL;NULL;NULL
"2001";"179";"PSYKIATRISK AMBULATORIUM R";"1988-01-01";"1990-12-31";"1988-01-01";"050";NULL;NULL;NULL
"2001";"179";"PSYKIATRISK AMBULATORIUM R";"1991-01-01";"1994-12-31";"1991-01-01";"050";NULL;NULL;NULL
"2001";"179";"PSYKIATRISK AMBULATORIUM R";"1995-01-01";"2000-06-01";"1999-04-22";"050";NULL;NULL;NULL
"2001";"180";"BØRNEPSYKIATRISK AFDELING M";"1977-01-01";"1982-12-31";"1977-01-01";"052";"050";NULL;NULL
"2001";"180";"BØRNEPSYKIATRISK AFDELING M";"1983-01-01";"1984-12-31";"1983-01-01";"052";"050";NULL;NULL
"2001";"181";"UNGDOMSPSYKIATRISK AFD. M";"1993-01-01";"1994-12-31";"1993-01-01";"050";"052";NULL;NULL
"2001";"181";"UNGDOMSPSYK. DØGNAFSNIT M";"1995-01-01";"2000-06-01";"1999-04-22";"052";NULL;NULL;NULL
"2001";"185";"UNGDOMSPSYK. DELDØGNSAFSNIT M";"1993-01-01";"1994-12-31";"1993-01-01";"050";"052";NULL;NULL
"2005";"031";"MEDICINSK 5-DØGNSAFSNIT B";"1996-01-01";"1998-12-31";"1998-12-03";"001";NULL;NULL;NULL
"2005";"032";"REHABILI.AFSN.B2,MED./ORT.KIR.";"1985-01-01";"1993-12-31";"1985-01-01";"001";NULL;NULL;NULL
"2005";"032";"MEDICINSK AFD.,REHABILITERING";"1994-01-01";"1994-12-31";"1994-01-01";"001";NULL;NULL;NULL
"2001";"127";"HØREKLINIK";"1995-01-01";"2000-06-01";"1999-04-22";"046";NULL;NULL;NULL
"2001";"129";"ØRE-, NÆSE- OG HALSAMB. C";"1977-01-01";"1982-12-31";"1977-01-01";"046";NULL;NULL;NULL
"2001";"129";"ØRE-, NÆSE- OG HALSAMB. C";"1983-01-01";"1987-12-31";"1983-01-01";"046";NULL;NULL;NULL
"2001";"129";"ØRE-, NÆSE- OG HALSAMB. C";"1988-01-01";"1990-12-31";"1988-01-01";"046";NULL;NULL;NULL
"2001";"129";"ØRE-, NÆSE- OG HALSAMB. C";"1991-01-01";"1994-12-31";"1991-01-01";"046";NULL;NULL;NULL
"2001";"129";"ØRE-, NÆSE- OG HALSAMB. C";"1995-01-01";"2000-06-01";"1999-04-22";"046";NULL;NULL;NULL
"2001";"130";"INSTITUT F. PATOLOGISK ANATOMI";"1976-04-01";"1982-12-31";"1976-04-01";"065";NULL;NULL;NULL
"2001";"146";"PSYKIATRISK DAGAFDELING P";"1983-01-01";"1987-12-31";"1983-01-01";"050";NULL;NULL;NULL
"2001";"146";"PSYKIATRISK DAGAFDELING P";"1988-01-01";"1990-12-31";"1988-01-01";"050";NULL;NULL;NULL
"2012";"320";"ANÆSTESIOLOGISK AFDELING";"1995-01-01";"2000-06-01";"1999-04-22";"084";NULL;NULL;NULL
"2012";"321";"ANÆSTESIOL. AFD., HELSINGØR";"1993-01-01";"1993-12-31";"1993-01-01";"084";NULL;NULL;NULL
"2012";"321";"ANÆSTESIOLOGISK AFDELING";"1994-01-01";"1994-12-31";"1994-01-01";"084";NULL;NULL;NULL
"2012";"332";"INTENSIVAFSNIT, HØRSHOLM";"1995-01-01";"2000-06-01";"1999-04-22";"084";NULL;NULL;NULL
"2012";"341";"RØNTGENAFDELING, HELSINGØR";"1993-01-01";"1993-12-31";"1993-01-01";"066";NULL;NULL;NULL
"2046";"010";"Laser Medical ApS, beh.afsnit";"2011-11-01";"2500-01-01";"2011-10-14";"001";"012";NULL;NULL
"2047";"01 ";"Hudklinikken Johannes Kristensen, afdeling";"2012-01-01";"2500-01-01";"2012-01-20";NULL;NULL;NULL;NULL
"2501";"020";"RØNTGENAFDELING";"1976-04-01";"1982-12-31";"1976-04-01";"066";NULL;NULL;NULL
"2501";"020";"RØNTGENAFDELINGEN";"1983-01-01";"1994-12-31";"1983-01-01";"066";NULL;NULL;NULL
"2501";"020";"Billeddiagnostisk afdeling";"1995-01-01";"2009-03-31";"2009-02-18";"066";NULL;NULL;NULL
"2501";"03 ";"Reumatologisk afd., fysio- og ergoterapi, RAS Roskilde";"2006-01-01";"2009-03-31";"2009-02-18";NULL;NULL;NULL;NULL
"2501";"030";"FYSIURGISK AFDELING";"1976-04-01";"1982-12-31";"1976-04-01";"026";NULL;NULL;NULL
"2501";"030";"FYSIURGISK-REUMATOLOGIST AFD";"1983-01-01";"1990-12-31";"1983-01-01";"012";NULL;NULL;NULL
"2501";"030";"FYSIURGISK-REUMATOLOGIST AFD.";"1991-01-01";"1991-12-31";"1991-01-01";"012";NULL;NULL;NULL
"2501";"036";"Reumatologisk afdeling, fysioterapi";"2001-12-01";"2001-12-31";"2001-11-30";"012";NULL;NULL;NULL
"2501";"036";"Reumatologisk afdeling, fysioterapi";"2002-01-01";"2002-12-31";"2002-10-31";"012";NULL;NULL;NULL
"2501";"036";"Reumatologisk afdeling, fysioterapi";"2003-01-01";"2009-03-31";"2009-02-18";"098";NULL;NULL;NULL
"2501";"041";"GYNÆKOLOGISK AFDELING, SENGE";"1983-01-01";"1994-12-31";"1983-01-01";"038";NULL;NULL;NULL
"2501";"041";"Gynækologisk afdeling, senge";"1995-01-01";"2009-03-31";"2009-02-18";"038";NULL;NULL;NULL
"2501";"042";"OBSTETRISK AFDELING";"1976-04-01";"1982-12-31";"1976-04-01";"038";NULL;NULL;NULL
"2501";"042";"OBSTETRISK AFDELING, SENGE";"1983-01-01";"1994-12-31";"1983-01-01";"038";NULL;NULL;NULL
"2501";"042";"Obstetrisk afdeling, senge";"1995-01-01";"2009-03-31";"2009-02-18";"038";NULL;NULL;NULL
"2501";"043";"GYNÆKOLOGISK AFD. KORTTIDS.";"1985-01-01";"1989-12-31";"1985-01-01";"038";NULL;NULL;NULL
"2501";"043";"GYNÆKOLOGISK AFD. KORTTIDS.";"1990-01-01";"1990-12-18";"1990-01-01";"038";NULL;NULL;NULL
"2501";"043";"GYNÆKOLOGISK AFD. KORTTIDS.";"1990-12-19";"1994-12-31";"1990-12-19";"038";NULL;NULL;NULL
"2501";"043";"GYNÆKOLOGISK AFD. KORTTIDS.";"1995-01-01";"1998-12-31";"1998-10-31";"038";NULL;NULL;NULL
"2501";"044";"OBSTETRISK AFDELING, VUGGER";"1990-01-01";"1991-12-31";"1990-01-01";"038";NULL;NULL;NULL
"2501";"139";"PÆDIATRISK AFD., AMBULATORIUM";"1988-01-01";"1990-12-31";"1988-01-01";"080";NULL;NULL;NULL
"2501";"139";"PÆDIATRISK AFD., AMBULATORIUM";"1991-01-01";"1994-12-31";"1991-01-01";"080";NULL;NULL;NULL
"2501";"139";"Pædiatrisk afd., ambulatorium";"1995-01-01";"2009-03-31";"2009-02-18";"080";NULL;NULL;NULL
"2501";"14 ";"Patologiafd., RAS Roskilde";"2006-01-01";"2009-03-31";"2009-02-18";NULL;NULL;NULL;NULL
"2501";"140";"PATOLOGISK AFSNIT";"1977-01-01";"1982-12-31";"1977-01-01";"065";NULL;NULL;NULL
"2501";"140";"PATOLOGISK AFSNIT";"1983-01-01";"1983-12-31";"1983-01-01";"065";NULL;NULL;NULL
"2501";"070";"Klinisk biokemisk afdeling";"1998-01-01";"2009-03-31";"2009-02-18";"060";NULL;NULL;NULL
"2005";"032";"MEDICINSK AFD.,REHABILITERING";"1995-01-01";"2000-06-01";"1999-04-22";"001";NULL;NULL;NULL
"2012";"046";"ORGANKIRURGISK AMBULATORIUM";"1996-01-01";"1996-01-24";"1996-01-01";"030";NULL;NULL;NULL
"2012";"321";"ANÆSTESIAFSNIT, HELSINGØR";"1995-01-01";"2000-06-01";"1999-04-22";"084";NULL;NULL;NULL
"2012";"322";"ANÆSTESIOL. AFD., HØRSHOLM";"1993-01-01";"1993-12-31";"1993-01-01";"084";NULL;NULL;NULL
"2012";"322";"ANÆSTESIAFSNIT, HØRSHOLM";"1995-01-01";"2000-06-01";"1999-04-22";"084";NULL;NULL;NULL
"2012";"328";"SKADESTUE, HØRSHOLM";"1995-01-01";"1995-12-31";"1995-01-01";"030";"042";NULL;NULL
"2012";"328";"SKADESTUE, HØRSHOLM";"1996-01-01";"2000-06-01";"1999-04-22";"030";NULL;NULL;NULL
"2012";"330";"INTENSIVAFDELING";"1995-01-01";"2000-06-01";"1999-04-22";"084";NULL;NULL;NULL
"2012";"331";"INTENSIVAFDELING, HELSINGØR";"1993-01-01";"1993-12-31";"1993-01-01";"084";NULL;NULL;NULL
"2012";"331";"INTENSIVAFDELING";"1994-01-01";"1994-12-31";"1994-01-01";"084";NULL;NULL;NULL
"2012";"331";"INTENSIVAFSNIT, HELSINGØR";"1995-01-01";"2000-06-01";"1999-04-22";"084";NULL;NULL;NULL
"2012";"332";"INTENSIVAFDELING, HØRSHOLM";"1993-01-01";"1993-12-31";"1993-01-01";"084";NULL;NULL;NULL
"2015";"03 ";"Overafdeling";"2006-01-01";"2010-03-17";"2010-03-09";NULL;NULL;NULL;NULL
"2015";"030";"Støtte- og kontaktcenter, Frederikssund";"2000-01-01";"2010-03-17";"2010-03-09";"099";NULL;NULL;NULL
"2016";"01 ";"Overafdeling";"2006-01-01";"2007-03-31";"2007-03-21";NULL;NULL;NULL;NULL
"2016";"010";"Behandlingsafdeling";"2002-01-01";"2007-03-31";"2007-03-21";"099";NULL;NULL;NULL
"2017";"01 ";"Med. allergologisk overafdeling";"2007-03-01";"2500-01-01";"2007-02-20";NULL;NULL;NULL;NULL
"2017";"010";"Behandlingsafdeling";"2002-01-01";"2004-11-30";"2004-11-30";"099";NULL;NULL;NULL
"2017";"010";"Laboratorium, Helsingør";"2007-03-01";"2500-01-01";"2007-02-20";"007";NULL;NULL;NULL
"2021";"01 ";"Overafdeling";"2006-01-01";"2500-01-01";"2005-12-14";NULL;NULL;NULL;NULL
"2021";"010";"Behandlingsafdeling";"2004-09-01";"2500-01-01";"2005-09-16";"099";NULL;NULL;NULL
"2022";"01 ";"Overafdeling";"2006-01-01";"2006-05-31";"2006-05-17";NULL;NULL;NULL;NULL
"2022";"010";"Behandlingsafdeling";"2004-11-01";"2006-05-31";"2006-05-17";"099";NULL;NULL;NULL
"2023";"01 ";"Overafdeling";"2006-01-01";"2500-01-01";"2005-12-14";NULL;NULL;NULL;NULL
"2023";"010";"Behandlingsafdeling";"2004-11-01";"2500-01-01";"2004-11-30";"099";NULL;NULL;NULL
"2023";"02 ";"Nordsjællands Snorke- og Apnøklinik, København";"2007-04-01";"2500-01-01";"2007-04-19";NULL;NULL;NULL;NULL
"2025";"010";"Speciallæge i kvindesygdomme Henrik Skensved, beh.afsnit";"2005-02-01";"2500-01-01";"2012-01-25";"038";NULL;NULL;NULL
"2026";"01 ";"Allerød Privathospital & Idrætsklinik, afdeling";"2006-01-01";"2500-01-01";"2011-08-22";NULL;NULL;NULL;NULL
"2000";"649";"Hø Reumatologisk klinik E, amb.";"1998-01-01";"2010-05-31";"2010-05-19";"012";NULL;NULL;NULL
"2000";"64L";"Hø Rygkirurgisk klinik, amb.";"2001-01-01";"2004-04-30";"2004-04-30";"042";NULL;NULL;NULL
"2000";"658";"Hø Skadeklinik";"2000-01-01";"2003-08-31";"2003-08-29";"030";NULL;NULL;NULL
"2000";"659";"Hø Ortopædkir. amb.";"1998-01-01";"2003-08-31";"2003-08-29";"042";NULL;NULL;NULL
"2000";"66 ";"HØ Dermatologisk klinik overafd.";"2006-01-01";"2008-03-31";"2008-03-14";NULL;NULL;NULL;NULL
"2501";"100";"ORTOPÆD.KIRURGISK FUNKTION";"1988-01-01";"1990-12-31";"1988-01-01";"042";NULL;NULL;NULL
"2032";"01 ";"Hjertelægerne i Hillerød, afdeling";"2007-11-01";"2500-01-01";"2010-09-06";NULL;NULL;NULL;NULL
"2032";"010";"Hjertelægerne i Hillerød, beh.afsnit";"2007-11-01";"2500-01-01";"2010-09-06";"006";"001";NULL;NULL
"2033";"01 ";"Hjertelægerne i Hillerød, afdeling";"2008-01-01";"2010-09-20";"2010-09-06";NULL;NULL;NULL;NULL
"2033";"010";"Behandlingsafdeling";"2008-01-01";"2010-09-12";"2010-09-03";"006";"032";"038";"042"
"2033";"019";"Hjertelægerne i Hillerød, ambulatorium";"2008-01-01";"2010-09-11";"2010-09-03";"033";"035";"020";"008"
"2033";"019";"Hjertelægerne i Hillerød, ambulatorium";"2010-09-12";"2010-09-20";"2010-09-06";"006";"001";NULL;NULL
"2034";"01 ";"Ørenæsehalsklinikken i Hørsholm, overafdeling";"2007-11-01";"2500-01-01";"2008-01-17";NULL;NULL;NULL;NULL
"2037";"010";"Behandlingsafdeling";"2008-11-01";"2011-12-31";"2011-12-16";"099";NULL;NULL;NULL
"2038";"01 ";"Klinik for Mave og Tarmsygdomme, overafdeling";"2009-03-01";"2500-01-01";"2009-02-18";NULL;NULL;NULL;NULL
"2501";"071";"BLODBANK";"1989-01-01";"1990-12-31";"1989-01-01";"060";NULL;NULL;NULL
"2501";"074";"BLODBANK";"1990-01-01";"1994-12-31";"1990-01-01";"060";NULL;NULL;NULL
"2501";"074";"Blodbank";"1995-01-01";"2009-03-31";"2009-02-18";"060";NULL;NULL;NULL
"2501";"08 ";"Neurologisk afd., RAS Roskilde";"2006-01-01";"2009-03-31";"2009-02-18";NULL;NULL;NULL;NULL
"2501";"080";"NEUROLOGISK AFDELING";"1976-04-01";"1982-12-31";"1976-04-01";"020";NULL;NULL;NULL
"2501";"080";"NEUROLOGISK AFDELING";"1983-01-01";"1990-12-31";"1983-01-01";"020";NULL;NULL;NULL
"2501";"081";"NEUROLOGISK AFDELING, SENGE";"1985-01-01";"1989-12-31";"1985-01-01";"044";NULL;NULL;NULL
"2501";"081";"NEUROLOGISK AFDELING, SENGE";"1990-01-01";"1990-12-31";"1990-01-01";"020";NULL;NULL;NULL
"2501";"081";"NEUROLOGISK AFDELING SENGE";"1991-01-01";"1994-12-31";"1991-01-01";"020";NULL;NULL;NULL
"2501";"081";"Neurologisk afdeling senge";"1995-01-01";"2009-03-31";"2009-02-18";"020";NULL;NULL;NULL
"2001";"146";"PSYKIATRISK DELDØGNSAFSNIT P";"1991-01-01";"1994-12-31";"1991-01-01";"050";NULL;NULL;NULL
"2001";"146";"PSYKIATRISK DELDØGNSAFSNIT P";"1995-01-01";"2000-06-01";"1999-04-22";"050";NULL;NULL;NULL
"2001";"149";"PSYKIATRISK AMBULATORIUM P";"1977-01-01";"1982-12-31";"1977-01-01";"050";NULL;NULL;NULL
"2001";"149";"PSYKIATRISK AMBULATORIUM P";"1983-01-01";"1987-12-31";"1983-01-01";"050";NULL;NULL;NULL
"2001";"149";"PSYKIATRISK AMBULATORIUM P";"1988-01-01";"1990-12-31";"1988-01-01";"050";NULL;NULL;NULL
"2001";"149";"PSYKIATRISK AMBULATORIUM P";"1991-01-01";"1994-12-31";"1991-01-01";"050";NULL;NULL;NULL
"2001";"149";"PSYKIATRISK AMBULATORIUM P";"1995-01-01";"2000-06-01";"1999-04-22";"050";NULL;NULL;NULL
"2001";"150";"PÆDIATRISK AFDELING H";"1976-04-01";"1982-12-31";"1976-04-01";"080";NULL;NULL;NULL
"2001";"150";"PÆDIATRISK AFDELING H";"1983-01-01";"1987-12-31";"1983-01-01";"080";NULL;NULL;NULL
"2001";"150";"PÆDIATRISK AFDELING H";"1988-01-01";"1990-12-31";"1988-01-01";"080";NULL;NULL;NULL
"2001";"150";"BØRNEAFDELING H";"1991-01-01";"1994-12-31";"1991-01-01";"080";NULL;NULL;NULL
"2001";"150";"BØRNEAFDELING H";"1995-01-01";"2000-06-01";"1999-04-22";"080";NULL;NULL;NULL
"2001";"156";"PÆDIATRISK DAGAFDELING H";"1982-01-01";"1982-12-31";"1982-01-01";"080";NULL;NULL;NULL
"2001";"156";"PÆDIATRISK DAGAFDELING H";"1983-01-01";"1984-12-31";"1983-01-01";"080";NULL;NULL;NULL
"2001";"159";"PÆDIATRISK AMBULATORIUM H";"1977-01-01";"1982-12-31";"1977-01-01";"080";NULL;NULL;NULL
"2001";"159";"PÆDIATRISK AMBULATORIUM H";"1983-01-01";"1987-12-31";"1983-01-01";"080";NULL;NULL;NULL
"2001";"159";"PÆDIATRISK AMBULATORIUM H";"1988-01-01";"1990-12-31";"1988-01-01";"080";NULL;NULL;NULL
"2001";"159";"BØRNEAMBULATORIUM H";"1991-01-01";"1994-12-31";"1991-01-01";"080";NULL;NULL;NULL
"2001";"170";"PSYKIATRISK AFDELING R";"1976-04-01";"1982-12-31";"1976-04-01";"050";NULL;NULL;NULL
"2001";"170";"PSYKIATRISK AFDELING R";"1983-01-01";"1987-12-31";"1983-01-01";"050";NULL;NULL;NULL
"2001";"170";"PSYKIATRISK AFDELING R";"1988-01-01";"1990-12-31";"1988-01-01";"050";NULL;NULL;NULL
"2001";"170";"PSYKIATRISK AFDELING R";"1991-01-01";"1994-12-31";"1991-01-01";"050";NULL;NULL;NULL
"2001";"170";"PSYKIATRISK AFDELING R";"1995-01-01";"2000-06-01";"1999-04-22";"050";NULL;NULL;NULL
"2001";"176";"PSYKIATRISK DAGAFDELING R";"1979-01-01";"1982-12-31";"1979-01-01";"050";NULL;NULL;NULL
"2001";"176";"PSYKIATRISK DAGAFDELING R";"1983-01-01";"1987-12-31";"1983-01-01";"050";NULL;NULL;NULL
"2001";"176";"PSYKIATRISK DAGAFDELING R";"1988-01-01";"1990-12-31";"1988-01-01";"050";NULL;NULL;NULL
"2001";"176";"PSYKIATRISK DELDØGNSAFSNIT R";"1991-01-01";"1994-12-31";"1991-01-01";"050";NULL;NULL;NULL
"2001";"176";"PSYKIATRISK DELDØGNSAFSNIT R";"1995-01-01";"2000-06-01";"1999-04-22";"050";NULL;NULL;NULL
"2001";"179";"PSYKIATRISK AMBULATORIUM R";"1977-01-01";"1982-12-31";"1977-01-01";"050";NULL;NULL;NULL
"2001";"179";"PSYKIATRISK AMBULATORIUM R";"1983-01-01";"1987-12-31";"1983-01-01";"050";NULL;NULL;NULL
"2000";"821";"HI Klinisk Mikrobiologi Afd, H";"2009-01-01";"2500-01-01";"2008-10-20";"063";NULL;NULL;NULL
"2000";"822";"HI Klinisk Mikrobiologi Afd, P";"2009-01-01";"2500-01-01";"2008-10-20";"063";NULL;NULL;NULL
"2000";"83 ";"Laboratoriediagnostisk enhed";"2006-01-01";"2008-12-31";"2008-10-20";NULL;NULL;NULL;NULL
"2000";"834";"Klinisk Mikrobiologisk Afd. PR";"2004-10-01";"2009-06-30";"2008-10-20";"063";NULL;NULL;NULL
"2000";"839";"Hi Centrallab. koagulationsamb.";"1998-01-01";"2003-06-30";"2003-04-30";"060";NULL;NULL;NULL
"2038";"010";"Behandlingsafdeling";"2009-03-01";"2500-01-01";"2009-02-18";"099";NULL;NULL;NULL
"2039";"01 ";"Psykologerne i Hillerød, afdeling";"2009-06-01";"2500-01-01";"2009-05-20";NULL;NULL;NULL;NULL
"2039";"010";"Psykologerne i Hillerød, beh.afsnit";"2009-06-01";"2500-01-01";"2009-05-20";"050";"052";NULL;NULL
"2040";"01 ";"A2 Reumatologi & Idrætsmedicin A/S, afdeling";"2009-07-01";"2500-01-01";"2009-06-12";NULL;NULL;NULL;NULL
"2040";"010";"A2 Reumatologi & Idrætsmedicin A/S, beh.afsnit";"2009-07-01";"2500-01-01";"2009-06-12";"012";NULL;NULL;NULL
"2502";"080";"KLINISK FYSIOLOGISK AFDELING";"1988-01-01";"1994-12-31";"1988-01-01";"061";NULL;NULL;NULL
"2502";"080";"Klinisk fysiologisk afdeling";"1995-01-01";"2009-03-31";"2009-02-18";"061";NULL;NULL;NULL
"2502";"089";"Karkirurgisk ambulatorium";"1998-01-01";"2009-03-31";"2009-02-18";"031";NULL;NULL;NULL
"2502";"09 ";"Forebyggelsesafd., RAS Køge";"2006-01-01";"2009-03-31";"2009-02-18";NULL;NULL;NULL;NULL
"2502";"099";"Forebyggelsesambulatoriet";"2003-07-01";"2009-03-31";"2009-02-18";"099";NULL;NULL;NULL
"2502";"10 ";"Ortopædkirurgisk afd, modtagelse og skadestue, RAS Køge";"2006-01-01";"2009-03-31";"2009-02-18";NULL;NULL;NULL;NULL
"2502";"100";"ORTOPÆDKIRURGISK AFDELING";"1988-01-01";"1990-12-31";"1988-01-01";"042";NULL;NULL;NULL
"2502";"100";"ORTOPÆDKIRURGISK AFD., SENGE";"1991-01-01";"1994-12-31";"1991-01-01";"042";NULL;NULL;NULL
"2502";"100";"Ortopædkirurgisk afd., senge";"1995-01-01";"2009-03-31";"2009-02-18";"042";NULL;NULL;NULL
"2502";"101";"Modtagelsen";"2003-01-01";"2009-03-31";"2009-02-18";"042";NULL;NULL;NULL
"2502";"103";"ORTOPÆDKIRURGISK OPERATION";"1990-01-01";"1990-12-31";"1990-01-01";"042";NULL;NULL;NULL
"2502";"103";"ORTOPÆDKIRURGISK OPERATION";"1991-01-01";"1992-12-31";"1991-01-01";"042";NULL;NULL;NULL
"2502";"104";"ORTOPÆDKIR. KORTTIDSAFSNIT";"1985-01-01";"1989-12-31";"1985-01-01";"065";NULL;NULL;NULL
"2502";"104";"ORTOPÆDKIR. KORTTIDSAFSNIT";"1990-01-01";"1990-12-31";"1990-01-01";"042";NULL;NULL;NULL
"2502";"104";"ORTOPÆDKIR.KORTTIDSAFSN.,SENGE";"1991-01-01";"1994-12-31";"1991-01-01";"042";NULL;NULL;NULL
"2502";"107";"Skadeambulatorium";"2004-10-01";"2009-03-31";"2009-02-18";"042";NULL;NULL;NULL
"2502";"108";"SKADESTUEN";"1988-01-01";"1990-12-31";"1988-01-01";"042";"030";NULL;NULL
"2502";"108";"SKADESTUE";"1991-01-01";"1994-12-31";"1991-01-01";"042";NULL;NULL;NULL
"2502";"108";"Skadestue";"1995-01-01";"2009-03-31";"2009-02-18";"042";NULL;NULL;NULL
"2502";"109";"ORTOPÆDKIRURGISK AMBULATORIUM";"1988-01-01";"1990-12-31";"1988-01-01";"042";NULL;NULL;NULL
"2502";"109";"ORTOPÆDKIRURGISK AMBULATORIUM";"1991-01-01";"1994-12-31";"1991-01-01";"042";NULL;NULL;NULL
"2502";"109";"Ortopædkirurgisk ambulatorium";"1995-01-01";"2009-03-31";"2009-02-18";"042";NULL;NULL;NULL
"2502";"11 ";"Øre-, næse-, halsafd, RAS Køge";"2006-01-01";"2009-03-31";"2009-02-18";NULL;NULL;NULL;NULL
"2502";"111";"Øre-, næse-, halsafd., senge";"2002-01-01";"2002-05-31";"2002-10-31";"046";"048";NULL;NULL
"2502";"111";"Øre-, næse-, halsafd., senge";"2002-06-01";"2009-03-31";"2009-02-18";"046";"048";NULL;NULL
"2502";"113";"Øre-, næse-, halsafd., korttids.";"2002-01-01";"2002-05-31";"2002-10-31";"046";"048";NULL;NULL
"2502";"113";"Øre-, næse-, halsafd., korttids.";"2002-06-01";"2009-03-31";"2009-02-18";"046";"048";NULL;NULL
"2502";"116";"Pårørende Ambulatorium E";"2005-01-01";"2009-03-31";"2009-02-18";"099";NULL;NULL;NULL
"2502";"117";"Audiologisk klinik";"2002-01-01";"2002-05-31";"2002-10-31";"046";NULL;NULL;NULL
"2502";"117";"Audiologisk klinik";"2002-06-01";"2009-03-31";"2009-02-18";"046";NULL;NULL;NULL
"2502";"118";"Tandklinik";"2002-01-01";"2002-05-31";"2002-10-31";"048";NULL;NULL;NULL
"2502";"118";"Tandklinik";"2002-06-01";"2009-03-31";"2009-02-18";"048";NULL;NULL;NULL
"2502";"119";"Øre-, næse-, halsafd., amb.";"2002-01-01";"2002-05-31";"2002-10-31";"046";"048";NULL;NULL
"2502";"119";"Øre-, næse-, halsafd., amb.";"2002-06-01";"2009-03-31";"2009-02-18";"046";"048";NULL;NULL
"2502";"12 ";"Geriatrisk afd., RAS Køge";"2006-01-01";"2009-03-31";"2009-02-18";NULL;NULL;NULL;NULL
"2503";"016";"DAGAFSNIT";"1987-05-08";"1987-12-31";"1987-05-08";"050";NULL;NULL;NULL
"2503";"016";"PSYKIATRISK DAGAFSNIT";"1988-01-01";"1990-12-31";"1988-01-01";"050";NULL;NULL;NULL
